FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
490|Additional Hill|Summit|AZ|04|Coconino|005|354448N|1113857W|35.7466649|-111.6490393|||||1906|6253|Additional Hill|02/08/1980|
537|Ajax Hill|Summit|AZ|04|Cochise|003|314032N|1100451W|31.6756473|-110.0809102|||||1613|5292|Tombstone|02/08/1980|
671|Antelope Hill|Summit|AZ|04|Yuma|027|324214N|1140057W|32.7039358|-114.0157671|||||245|804|Wellton Mesa|02/08/1980|
962|Baker Hill|Summit|AZ|04|Graham|009|323007N|1100944W|32.5020161|-110.1623033|||||1601|5253|Harrison Canyon|02/08/1980|
979|Bald Hill|Summit|AZ|04|Yavapai|025|340110N|1121511W|34.0194776|-112.252941|||||1156|3793|Columbia|02/08/1980|
1431|Bird Nest Hill|Summit|AZ|04|Pima|019|315702N|1115720W|31.9506309|-111.9556806|||||857|2812|Sells West|02/08/1980|
1520|Black Hill|Summit|AZ|04|Pinal|021|330808N|1112038W|33.1356146|-111.344012|||||543|1781|Florence NE|02/08/1980|
1521|Black Hill|Summit|AZ|04|Yavapai|025|340029N|1125025W|34.0080842|-112.8401808|||||842|2762|Flores|02/08/1980|
1522|Black Hill|Summit|AZ|04|Yavapai|025|340109N|1121832W|34.0191996|-112.3087765|||||891|2923|Columbia|02/08/1980|
1523|Black Hill|Summit|AZ|04|Apache|001|365756N|1093609W|36.9655572|-109.602612|||||1610|5282|Walker Creek Reservoir|02/08/1980|
1600|Black Rock Hill|Summit|AZ|04|La Paz|012|333524N|1133847W|33.5900327|-113.6463174|||||415|1362|Hope SW|02/08/1980|
1639|Black Wood Hill|Summit|AZ|04|Apache|001|361132N|1091655W|36.1922261|-109.2820468|||||2173|7129|Black Rock Butte|02/08/1980|
1696|Blue Clay Hill|Summit|AZ|04|Apache|001|362835N|1091855W|36.4763899|-109.3153808|||||1811|5942|Bad Bug Butte|02/08/1980|
1879|Boundary Hill|Summit|AZ|04|Mohave|015|361205N|1140250W|36.2013741|-114.0471831|||||557|1827|Iceberg Canyon|02/08/1980|
2020|Brunckow Hill|Summit|AZ|04|Cochise|003|313702N|1100928W|31.6173156|-110.1578558|||||1359|4459|Lewis Springs|02/08/1980|
2093|Buckhorn Hill|Summit|AZ|04|Navajo|017|343908N|1101128W|34.6522546|-110.1912311|||||1778|5833|Flattop Hill|02/08/1980|
2136|Buford Hill|Summit|AZ|04|Graham|009|325010N|1101428W|32.8361764|-110.2411978|||||1969|6460|Buford Hill|02/08/1980|
2139|Buggeln Hill|Summit|AZ|04|Coconino|005|355855N|1115701W|35.9819295|-111.9501621|||||2173|7129|Grandview Point|02/08/1980|
2359|Cairo Hill|Summit|AZ|04|Pinal|021|331015N|1105848W|33.1708938|-110.9801134|||||770|2526|Hot Tamale Peak|02/08/1980|
2413|Campbell Hill|Summit|AZ|04|Maricopa|013|335604N|1130332W|33.9344735|-113.0587981|||||772|2533|Forepaugh Peak|02/08/1980|
2818|Chihuahua Hill|Summit|AZ|04|Cochise|003|312641N|1095435W|31.4448215|-109.9097969|||||1798|5899|Bisbee|02/08/1980|
2881|Chiweton Hill|Summit|AZ|04|Pima|019|315234N|1121153W|31.8761878|-112.1981863|||||608|1995|Kupk|02/08/1980|
2890|Choyojdolid Hill|Summit|AZ|04|Apache|001|354228N|1092313W|35.7077925|-109.3870453|||||2201|7221|Kinlichee|02/08/1980|
2903|Chuar Lava Hill|Summit|AZ|04|Coconino|005|360842N|1114934W|36.144986|-111.8259925|||||1198|3930|Cape Solitude|02/08/1980|
2946|Cinder Hill|Summit|AZ|04|Cochise|003|312605N|1091840W|31.4348231|-109.3111733|||||1447|4747|Cinder Hill|02/08/1980|
2950|Cintura Hill|Summit|AZ|04|Cochise|003|312847N|1095119W|31.4798206|-109.8553517|||||1861|6106|Bisbee NE|02/08/1980|
3015|Cliff Rose Hill|Summit|AZ|04|Navajo|017|362423N|1101122W|36.406388|-110.1895723|||||2312|7585|Cliff Rose Hill|02/08/1980|
3152|Comstock Hill|Summit|AZ|04|Cochise|003|314310N|1100427W|31.7195347|-110.0742431|||||1394|4573|Tombstone|02/08/1980|
3154|Concentrator Hill|Summit|AZ|04|Pima|019|322148N|1125126W|32.3633917|-112.8570986|||||628|2060|Ajo South|02/08/1980|
3231|Copper King Hill|Summit|AZ|04|Cochise|003|312625N|1095400W|31.4403772|-109.9000743|||||1750|5741|Bisbee|02/08/1980|
3347|Cottonwood Hill|Summit|AZ|04|Pinal|021|325027N|1105655W|32.8409016|-110.9487198|||||1341|4400|Black Mountain|02/08/1980|
3626|Crystal Hill|Summit|AZ|04|La Paz|012|333144N|1140646W|33.5289189|-114.1127195|||||554|1818|Crystal Hill|02/08/1980|
